,driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate
2934,Transcend SSD720 256GB TS256GSSD720,SSD,238.5,3705,2935,249.99,14.82,1.05,2012
2937,Crucial CT250MX200SSD1,SSD,232.9,3703,2938,99.99,37.03,0.43,2015
2941,PLEXTOR PX-512M5Pro,SSD,476.9,3701,2942,274.99,13.46,0.58,2013
2946,Crucial CT128M550SSD3,SSD,119.2,3698,2947,194.0,19.06,1.63,2014
2950,PLEXTOR PX-128M6S,SSD,119.2,3693,2951,205.0,18.02,1.72,2014
2951,SanDisk SDSSDXPS,SSD,447.1,3693,2952,149.99,24.62,0.34,2014
2957,SAMSUNG MZ7LN256HCHP-00000,SSD,238.5,3689,2958,60.0,61.48,0.25,2015
2959,SAMSUNG MZNLN256HCHP-000L2,SSD,238.5,3689,2960,74.99,49.19,0.31,2015
2960,Patriot Blast 480GB,SSD,447.1,3688,2961,66.99,55.06,0.15,2015
2961,Crucial CT512M550SSD4,SSD,476.9,3687,2962,277.77,13.27,0.58,2014
2962,PNY CS900 250GB SSD,SSD,232.9,3686,2963,38.49,95.77,0.17,2020
2964,Seagate BarraCuda 120 SSD ZA250CM10003,SSD,232.9,3684,2965,52.99,69.53,0.23,2020
2970,CT480BX200SSD1,SSD,447.1,3682,2971,437.99,8.41,0.98,2015
2974,OCZ Vertex 3 240GB,SSD,223.6,3680,2975,69.26,53.13,0.31,2012
2976,SanDisk SD7SB2Q-512G,SSD,476.9,3679,2977,199.99,18.4,0.42,2015
2982,Seagate ST240HM000,SSD,223.6,3677,2983,189.99,19.36,0.85,2013
2985,Kingston HyperX 480GB SH100S3480G,SSD,447.1,3676,2986,499.99,7.35,1.12,2013
2986,Crucial CT275MX300SSD1,SSD,256.2,3676,2987,179.95,20.43,0.7,2016
2987,SAMSUNG SSD SM841 mSATA 128GB,SSD,119.2,3676,2988,58.7,62.62,0.49,2013
2988,GIGABYTE GP-GSTFS31480GNTD,SSD,447.1,3675,2989,51.99,70.69,0.12,2019
2989,SAMSUNG MZNLN256HCHP-00000,SSD,238.5,3675,2990,56.0,65.62,0.23,2015
2994,SEAGATE ST480FP0021,SSD,447.1,3670,2995,130.0,28.23,0.29,2015
2995,Corsair Force GT,SSD,223.6,3669,2996,498.59,7.36,2.23,2012
3000,Intel SSD 520 180GB 9.5mm,SSD,167.7,3666,3001,184.79,19.84,1.1,2012
3002,Fujitsu SSD256GB,SSD,238.5,3664,3003,159.99,22.9,0.67,2013
3022,SAMSUNG SSD PM871 mSATA 256GB,SSD,238.5,3650,3023,149.99,24.34,0.63,2015
3023,Crucial CT512M550SSD1,SSD,476.9,3650,3024,230.0,15.87,0.48,2014
3026,Transcend TS256GSSD370S,SSD,238.5,3649,3027,179.0,20.38,0.75,2015
3044,Intel SSD DC S3500 300GB,SSD,279.5,3635,3045,350.0,10.39,1.25,2013
3048,TOSHIBA THNSNH512GBST,SSD,476.9,3632,3049,70.99,51.17,0.15,2013
3050,Seagate BarraCuda Q1 SSD ZA240CV10001,SSD,223.6,3629,3051,54.99,66.0,0.25,2020
3058,SAMSUNG MZ7LN512HCHP-00000,SSD,476.9,3624,3059,209.99,17.26,0.44,2016
3060,Seagate ST480HM000,SSD,447.1,3623,3061,254.09,14.26,0.57,2013
3063,SanDisk SD9SN8W-128G-1006,SSD,119.2,3621,3064,34.99,103.48,0.29,2018
3065,MTFDDAK512MBF,SSD,476.9,3619,3066,90.0,40.21,0.19,2016
3078,HP SSD S700 Pro 256GB,SSD,238.5,3612,3079,98.89,36.52,0.41,2017
3092,OCZ RevoDrive 3,SSD,111.8,3601,3093,99.89,36.04,0.89,2012
3112,OCZ Vertex 3 Max IOPS 120GB,SSD,111.8,3590,3113,119.95,29.93,1.07,2011
3122,HP SSD S700 1TB,SSD,931.5,3583,3123,104.99,34.12,0.11,2019
3132,Transcend TS256GSSD370,SSD,238.5,3576,3133,122.2,29.26,0.51,2014
3140,Transcend TS256GMTS600,SSD,238.5,3568,3141,109.99,32.44,0.46,2015
3145,SanDisk SD7SB3Q-256G,SSD,238.5,3566,3146,69.99,50.95,0.29,2015
3169,PLEXTOR PX-128M5M,SSD,119.2,3556,3170,179.95,19.76,1.51,2013
3185,CT240BX200SSD1,SSD,223.6,3548,3186,147.77,24.01,0.66,2015
3187,Intel SSD Pro 1500 180GB,SSD,167.7,3546,3188,24.99,141.88,0.15,2013
3190,Plextor M5 Pro 256GB PX-256M5P,SSD,238.5,3542,3191,209.99,16.87,0.88,2012
3196,PLEXTOR PX-128S2G,SSD,119.2,3536,3197,174.98,20.21,1.47,2016
3205,ADATA SU800 M.2 SSD 128GB,SSD,119.2,3530,3206,92.03,38.36,0.77,2017
3208,Transcend TS512GSSD720,SSD,476.9,3528,3209,361.62,9.76,0.76,2013
3218,KingDian S280 480GB,SSD,447.1,3524,3219,56.99,61.84,0.13,2016
3222,PLEXTOR PX-256M8VC,SSD,238.5,3522,3223,79.75,44.16,0.33,2019
3227,Crucial CT256M550SSD3,SSD,238.5,3518,3228,357.77,9.83,1.5,2014
3228,HFS256G32TND-N210A,SSD,238.5,3518,3229,79.99,43.97,0.34,2016
3232,KINGSTON SH103S3,SSD,111.8,3517,3233,127.87,27.5,1.14,2014
3242,HP SSD S700 Pro,SSD,238.5,3514,3243,45.99,76.4,0.19,2017
3246,INTEL 730 240GB SSDSC2BP240G4,SSD,223.6,3512,3247,173.55,20.24,0.78,2014
3254,SanDisk SD7TB3Q-256G-1006,SSD,238.5,3510,3255,74.99,46.8,0.31,2015
3285,Intel SSD 520 120GB SSDSC2CW120A3,SSD,111.8,3492,3286,75.33,46.36,0.67,2013
3292,SanDisk SDSSDH3 250G,SSD,232.9,3488,3293,44.48,78.42,0.19,2018
3304,Intel SSD 520 120GB SSDSC2CW120,SSD,111.8,3481,3305,129.99,26.78,1.16,2012
3317,Netac N5M-120GB,SSD,118.0,3476,3318,65.99,52.67,0.56,2015
3327,Kingston HyperX 3K 120GB SH103S3120G,SSD,111.8,3469,3328,119.98,28.92,1.07,2012
3331,KingDian S280-120GB,SSD,111.8,3468,3332,165.48,20.95,1.48,2016
3332,ZOTAC ZTSSD-A5P-240G-PE,SSD,223.6,3467,3333,74.99,46.23,0.34,2015
3336,D2RSTK251E19-0400,SSD,372.6,3465,3337,146.77,23.61,0.39,2014
3363,NGFF 2280 256GB SSD,SSD,238.5,3449,3364,37.01,93.18,0.16,2020
3369,PNY CS900 480GB SSD,SSD,447.1,3443,3370,231.18,14.89,0.52,2017
3374,KINGSTON SH103S3240G-NV,SSD,223.6,3439,3375,179.99,19.11,0.8,2013
3377,SanDisk SD6SN1M-256G,SSD,238.5,3438,3378,129.99,26.45,0.55,2014
3378,NGFF 2280 512GB SSD,SSD,476.9,3438,3379,142.5,24.12,0.3,2021
3381,SanDisk SD5SB2-128G-1006E,SSD,119.2,3436,3382,106.55,32.25,0.89,2013
3383,Micron M600 MTFDDAV128MBF,SSD,119.2,3436,3384,197.77,17.37,1.66,2015
3388,Corsair Performance Pro,SSD,119.1,3434,3389,179.99,19.08,1.51,2011
3390,GIGABYTE GP-GSTFS31240GNTD,SSD,223.6,3433,3391,34.42,99.74,0.15,2018
3391,Lexar 128GB SSD,SSD,119.2,3431,3392,52.67,65.14,0.44,2019
3392,ADATA Premier Pro SP900 256GB,SSD,238.5,3430,3393,87.14,39.37,0.37,2013
3405,KINGSTON SMS200S3240G,SSD,223.6,3424,3406,119.49,28.66,0.53,2014
3407,Transcend TS256GSSD320,SSD,238.5,3423,3408,255.89,13.38,1.07,2013
3409,Intel 335 180GB SSDSC2CT180A4,SSD,167.7,3423,3410,189.0,18.11,1.13,2013
3413,SAMSUNG MZNTY256HDHP-000H1,SSD,238.5,3417,3414,79.99,42.72,0.34,2016
3430,FCCT960M500SSD1,SSD,894.3,3407,3431,219.99,15.49,0.25,2015
3440,PNY CS900 240GB SSD,SSD,223.6,3402,3441,73.4,46.35,0.33,2016
3442,TEAM L5 LITE SSD 240GB,SSD,223.6,3400,3443,34.99,97.18,0.16,2017
3446,Corsair Force GT,SSD,111.8,3398,3447,88.87,38.23,0.79,2011
3447,Mushkin ECO2 512GB MKNSSDEC512GB,SSD,476.9,3395,3448,109.99,30.87,0.23,2015
3450,Intel SSD 530 180GB mSATA,SSD,167.7,3394,3451,139.0,24.42,0.83,2014
3457,ADATA SU650,SSD,447.1,3390,3458,63.94,53.02,0.14,2018
3460,Crucial CT480M500SSD3,SSD,447.1,3389,3461,341.49,9.92,0.76,2013
3468,ADATA SP610,SSD,238.5,3380,3469,178.15,18.97,0.75,2014
3471,TOSHIBA THNSNS480GBSP,SSD,447.1,3380,3472,129.99,26.0,0.29,2014
3472,PLEXTOR PX-128M7VG,SSD,119.2,3380,3473,184.98,18.27,1.55,2016
3477,Micron M500 240GB MTFDDAK240MAV,SSD,223.6,3379,3478,483.3,6.99,2.16,2014
3483,KINGSTON SHFS37A,SSD,223.6,3376,3484,65.95,51.19,0.29,2015
3487,Netac SSD 512GB,SSD,476.9,3372,3488,102.85,32.79,0.22,2019
3491,PLEXTOR PX-128M8VG,SSD,119.2,3370,3492,72.99,46.17,0.61,2019
3493,Crucial CT256M550SSD1,SSD,238.5,3369,3494,182.19,18.49,0.76,2014
3494,Patriot Wildfire,SSD,111.8,3369,3495,91.3,36.9,0.82,2011
3510,WDC WDS100T2G0A,SSD,931.5,3358,3511,112.0,29.98,0.12,2019
3511,MT-512,SSD,476.9,3358,3512,65.99,50.88,0.14,2018
3515,Samsung SSD 840 EVO 120GB mSATA,SSD,111.8,3356,3516,49.95,67.19,0.45,2014
3524,PLEXTOR PX-128M6M,SSD,119.2,3350,3525,99.99,33.5,0.84,2014
3526,PLEXTOR PX-512S2G,SSD,476.9,3349,3527,59.99,55.83,0.13,2018
3536,CT2000BX500SSD1,SSD,1800.0,3345,3537,179.99,18.58,0.1,2020
3546,SAMSUNG MZNLN128HAHQ-000L1,SSD,119.2,3337,3547,52.28,63.83,0.44,2018
3550,PNY CS2211 240GB SSD,SSD,223.6,3335,3551,79.99,41.7,0.36,2016
3552,ADATA SU635,SSD,223.6,3334,3553,31.99,104.2,0.14,2019
3558,PNY CS900 240GB,SSD,223.6,3330,3559,41.99,79.32,0.19,2017
3560,Samsung SSD 750 EVO 120GB,SSD,111.8,3330,3561,129.99,25.62,1.16,2015
3567,ADATA XPG SX900 128GB,SSD,119.2,3325,3568,103.53,32.12,0.87,2012
3569,Intel SSD 330 240GB,SSD,223.6,3325,3570,197.01,16.88,0.88,2012
3571,V Series SSD 240GB,SSD,223.6,3324,3572,134.49,24.71,0.6,2016
3579,TOSHIBA THNSNS240GBSP,SSD,223.6,3320,3580,42.95,77.3,0.19,2013
3581,SanDisk X110 MSATA 256GB,SSD,238.5,3319,3582,199.95,16.6,0.84,2015
3582,Patriot P210 512GB,SSD,476.9,3319,3583,47.99,69.16,0.1,2020
3590,SAMSUNG MZMTE512HMHP-000MV,SSD,476.9,3315,3591,249.99,13.26,0.52,2014
3604,Crucial CT256MX100SSD1,SSD,238.5,3307,3605,99.99,33.07,0.42,2014
3606,TOSHIBA Q300,SSD,223.6,3305,3607,189.5,17.44,0.85,2015
3612,SanDisk SDSSDHII,SSD,223.6,3303,3613,83.99,39.33,0.38,2014
3615,Seagate BarraCuda SSD ZA250CM10002,SSD,232.9,3300,3616,108.34,30.46,0.47,2018
3616,Emtec X150 240GB,SSD,223.6,3299,3617,30.99,106.46,0.14,2019
3619,Axiom Signature III SSD,SSD,223.6,3295,3620,81.61,40.37,0.36,2013
3621,PLEXTOR PX-256M6M,SSD,238.5,3294,3622,143.99,22.88,0.6,2014
3624,Intel SSD DC S3520 480GB,SSD,447.1,3294,3625,310.01,10.62,0.69,2017
3629,Intel SSD Pro 1500 480GB,SSD,447.1,3292,3630,219.99,14.96,0.49,2015
3644,Samsung SSD 860 EVO 500G,SSD,465.8,3287,3645,105.95,31.02,0.23,2018
3658,INTEL SSDSC2BA40,SSD,372.6,3278,3659,395.0,8.3,1.06,2015
3678,PLEXTOR PX-128S2C,SSD,119.2,3268,3679,179.98,18.16,1.51,2016
3680,Netac SSD 256GB,SSD,236.0,3267,3681,56.21,58.13,0.24,2015
3693,SanDisk SD7SN6S-128G,SSD,119.2,3262,3694,49.99,65.26,0.42,2015
3695,Crucial CT128M550SSD4,SSD,119.2,3262,3696,231.77,14.07,1.94,2014
3696,SAMSUNG MZNTY256HDHP-000L2,SSD,238.5,3262,3697,83.38,39.12,0.35,2016
3699,SanDisk X300 MSATA 128GB,SSD,119.2,3259,3700,151.41,21.52,1.27,2016
3704,HP SSD S700 500GB,SSD,465.8,3257,3705,57.99,56.16,0.12,2018
3707,Corsair Neutron GTX SSD 240GB,SSD,223.6,3256,3708,502.59,6.48,2.25,2012
3709,Crucial CT512M550SSD3,SSD,476.9,3255,3710,417.47,7.8,0.88,2014
3712,SAMSUNG MZNTE512HMJH-000H1,SSD,476.9,3252,3713,144.56,22.5,0.3,2015
3715,Kingston HyperX 120GB SH100S3120G,SSD,111.8,3250,3716,253.31,12.83,2.27,2011
3719,MyDigitalSSD BP4,SSD,111.8,3248,3720,64.99,49.98,0.58,2013
3721,ADATA SU800 SSD 128GB,SSD,119.2,3247,3722,29.99,108.27,0.25,2017
3722,SAMSUNG 256GB MZMPC256HBGJ,SSD,238.5,3245,3723,74.99,43.27,0.31,2012
3727,Crucial CT128M550SSD1,SSD,119.2,3239,3728,88.83,36.46,0.75,2014
3729,Patriot Burst,SSD,223.6,3238,3730,39.74,81.49,0.18,2017
3744,SanDisk Z400s M.2 2280 256GB,SSD,238.5,3230,3745,83.41,38.73,0.35,2015
3746,Crucial CT500MX200SSD1,SSD,465.8,3228,3747,195.7,16.5,0.42,2015
3754,ADATA SU630,SSD,223.6,3227,3755,41.78,77.23,0.19,2019
3759,Patriot P200 256GB,SSD,238.5,3225,3760,111.0,29.05,0.47,2019
3760,TOSHIBA THNSNS120GBSP,SSD,111.8,3224,3761,102.0,31.61,0.91,2013
3769,SAMSUNG MZ7WD240HAFV-00003,SSD,223.6,3220,3770,90.0,35.78,0.4,2014
3770,SAMSUNG MZ7PC128HAFU-000H1,SSD,119.2,3219,3771,44.99,71.56,0.38,2013
3773,Samsung SSD 860 EVO 250G,SSD,232.9,3215,3774,79.95,40.21,0.34,2018
3776,ADATA SX300,SSD,119.2,3212,3777,172.21,18.65,1.44,2013
3779,Samsung SSD 845DC EVO 960GB,SSD,894.3,3209,3780,1054.75,3.04,1.18,2015
3788,Phison SSD,SSD,119.2,3201,3789,194.98,16.42,1.64,2015
3793,HFS128G3BMND-3210A,SSD,119.2,3196,3794,36.04,88.67,0.3,2016
3799,Colorful SL500 240GB,SSD,223.6,3195,3800,44.1,72.44,0.2,2016
3800,KingDian S280 120GB,SSD,111.8,3195,3801,36.75,86.93,0.33,2017
3806,Transcend TS256GSSD340K,SSD,238.5,3193,3807,168.5,18.95,0.71,2016
3809,KINGSTON SKC100S3240G,SSD,223.6,3192,3810,93.01,34.32,0.42,2012
3815,Mushkin Reactor LT 250GB MKNSSDRE250GB-LT,SSD,232.9,3190,3816,49.99,63.81,0.21,2017
3817,Transcend TS128GSSD230S,SSD,119.2,3188,3818,31.34,101.71,0.26,2017
3821,PLEXTOR PX-512M6M,SSD,476.9,3185,3822,393.36,8.1,0.82,2014
3824,Mushkin Atlas Deluxe 240GB MKNSSDAT240GB-DX,SSD,223.6,3184,3825,162.49,19.6,0.73,2012
3827,Dogfish SSD 256GB,SSD,238.5,3183,3828,39.99,79.6,0.17,2020
3828,Netac SSD 240GB,SSD,223.6,3181,3829,120.8,26.33,0.54,2017
3831,G.SKILL FM-25S3-240GPF,SSD,223.6,3177,3832,74.99,42.37,0.34,2015
3835,Lexar 240GB SSD,SSD,223.6,3173,3836,49.44,64.17,0.22,2019
3839,SanDisk SD6SN1M-128G-1006,SSD,119.2,3171,3840,139.99,22.65,1.17,2014
3859,Intel SSD DC S3610 200GB,SSD,186.3,3160,3860,175.0,18.06,0.94,2015
3869,CT250BX100SSD1,SSD,232.9,3156,3870,81.97,38.5,0.35,2015
3871,ADATA SX930,SSD,111.8,3156,3872,284.82,11.08,2.55,2015
3873,Visiontek 256GB,SSD,238.5,3155,3874,179.99,17.53,0.75,2017
3875,HP SSD M700 120GB,SSD,111.8,3154,3876,22.99,137.17,0.21,2017
3876,INTEL SSDSCKHW120A4,SSD,111.8,3153,3877,89.99,35.04,0.8,2014
3879,SAMSUNG MZNLN128HAHQ-00000,SSD,119.2,3150,3880,51.73,60.9,0.43,2018
3883,ADATA SU900,SSD,119.2,3148,3884,79.99,39.36,0.67,2018
3887,Kingston HyperX 240GB SH100S3240G,SSD,223.6,3148,3888,344.99,9.12,1.54,2011
3893,Corsair Neutron,SSD,111.8,3144,3894,362.0,8.69,3.24,2012
3895,Patriot Ignite,SSD,894.3,3142,3896,152.12,20.65,0.17,2015
3907,HP SSD S700 250GB,SSD,232.9,3136,3908,40.99,76.51,0.18,2017
3919,GIGABYTE GP-GSTFS31120GNTD,SSD,111.8,3130,3920,29.99,104.38,0.27,2018
3937,HP SSD S700 120GB,SSD,111.8,3119,3938,22.99,135.67,0.21,2017
3938,Lexar 120GB SSD,SSD,111.8,3118,3939,67.99,45.86,0.61,2019
3939,M.2 SSD 256GB,SSD,238.5,3118,3940,26.0,119.92,0.11,2020
3944,SAMSUNG MZMTE256HMHP-00000,SSD,238.5,3115,3945,149.0,20.9,0.62,2013
3957,PLEXTOR PX-256M5P,SSD,238.5,3107,3958,359.95,8.63,1.51,2013
3959,SATA3 512GB SSD,SSD,476.9,3104,3960,96.55,32.15,0.2,2020
3966,Intel SSD 330 120GB,SSD,111.8,3101,3967,94.2,32.92,0.84,2012
3977,SAMSUNG SSD PM871 M.2 2280 128GB,SSD,119.2,3093,3978,29.99,103.12,0.25,2015
3979,SanDisk X300 2.5 7MM 128GB,SSD,119.2,3092,3980,26.19,118.05,0.22,2016
3986,ADATA SX910,SSD,119.2,3087,3987,220.0,14.03,1.85,2013
3994,SAMSUNG MZMTE512HMHP-00000,SSD,476.9,3081,3995,249.99,12.32,0.52,2014
3995,Crucial CT240M500SSD1,SSD,223.6,3080,3996,199.99,15.4,0.89,2013
4000,Intel SSD DC S3500 240GB,SSD,223.6,3079,4001,230.99,13.33,1.03,2013
4002,SSD9SC120GEDA,SSD,111.8,3076,4003,229.95,13.38,2.06,2012
4004,ADATA SU650,SSD,111.8,3075,4005,22.11,139.09,0.2,2017
4015,KingDian S280 240GB,SSD,223.6,3072,4016,34.99,87.79,0.16,2017
4021,SAMSUNG MZNLN128HAHQ-000H1,SSD,119.2,3069,4022,49.99,61.4,0.42,2018
4022,Mushkin Atlas Deluxe 120GB MKNSSDAT120GB-DX,SSD,111.8,3069,4023,239.95,12.79,2.15,2012
4028,Crucial CT240M500SSD4,SSD,223.6,3068,4029,205.99,14.89,0.92,2014
4029,DREVO X1 PRO SSD,SSD,238.5,3066,4030,94.4,32.48,0.4,2017
4032,KingDian S280-240GB,SSD,223.6,3063,4033,35.99,85.11,0.16,2016
4048,KINGSTON SMS200S3120G,SSD,111.8,3054,4049,179.98,16.97,1.61,2013
4049,WDC WDS480G2G0B,SSD,447.1,3053,4050,75.72,40.33,0.17,2018
4053,MZMPC128HBFU-00000,SSD,119.2,3051,4054,169.95,17.95,1.43,2015
4055,CT120BX100SSD1,SSD,111.8,3049,4056,89.99,33.88,0.8,2015
4061,KINGSTON SKC400S37256G,SSD,238.5,3045,4062,178.27,17.08,0.75,2016
4077,Plextor M5 128GB PX-128M5S,SSD,119.2,3035,4078,107.99,28.1,0.91,2012
4082,KINGSTON SKC100S3480G,SSD,447.1,3032,4083,94.73,32.01,0.21,2013
4085,SAMSUNG 128GB MZMPC128HBFU,SSD,119.2,3031,4086,68.95,43.96,0.58,2012
4091,ADATA XPG SX300 128GB,SSD,119.2,3028,4092,118.61,25.53,1.0,2012
4102,Samsung SSD 840 EVO 250GB,SSD,232.9,3015,4103,158.95,18.97,0.68,2013
4107,KINGSTON SV300S3240G,SSD,223.6,3013,4108,64.25,46.89,0.29,2013
4110,Samsung SSD 750 EVO 250GB,SSD,232.9,3012,4111,69.0,43.65,0.3,2016
4121,INTEL SSDSCIHW120A4,SSD,111.8,3005,4122,156.6,19.19,1.4,2015
4125,Patriot Blaze,SSD,223.6,3005,4126,121.28,24.77,0.54,2014
4128,Transcend TS128GMTS800,SSD,119.2,3002,4129,39.95,75.14,0.34,2014
4129,Intel SSD 525 120GB,SSD,111.8,3001,4130,129.0,23.27,1.15,2013
4132,SAMSUNG SSD PM851 mSATA 512GB,SSD,476.9,3000,4133,399.65,7.51,0.84,2014
4141,DOGFISH SSD 512GB,SSD,476.9,2998,4142,67.9,44.15,0.14,2019
4164,PLEXTOR PX-128M7VC,SSD,119.2,2986,4165,378.99,7.88,3.18,2016
4169,SAMSUNG SSD PM830 mSATA,SSD,238.5,2982,4170,51.9,57.46,0.22,2012
4173,SAMSUNG MZ7LN128HCHP-000H1,SSD,119.2,2981,4174,24.99,119.3,0.21,2016
4176,KINGSTON SKC100S3120G,SSD,111.8,2980,4177,199.99,14.9,1.79,2012
4177,Transcend TS120GSSD220S,SSD,111.8,2979,4178,53.9,55.26,0.48,2016
4181,ADATA Premier SP600 256GB,SSD,238.5,2977,4182,221.0,13.47,0.93,2014
4183,Transcend TS128GSSD370S,SSD,119.2,2975,4184,89.99,33.06,0.75,2015
4187,SAMSUNG SSD PM830 mSATA 128GB,SSD,119.2,2974,4188,225.39,13.19,1.89,2013
4189,SAMSUNG MZ7WD240HCFV-00003,SSD,223.6,2971,4190,123.14,24.13,0.55,2015
4190,SAMSUNG MZNTE512HMJH-00000,SSD,476.9,2971,4191,99.99,29.71,0.21,2014
4193,SAMSUNG SSD PM851 M.2 2280 512GB,SSD,476.9,2970,4194,129.95,22.85,0.27,2015
4202,HyperX Fury 3D 240GB,SSD,223.6,2965,4203,60.0,49.42,0.27,2019
4203,SAMSUNG MZNLN128HCGR-000L2,SSD,119.2,2965,4204,52.28,56.72,0.44,2015
4209,"Intel SSD 545s 128GB 2.5""",SSD,119.2,2963,4210,52.95,55.96,0.44,2017
4216,SAMSUNG MZ7TE256HMHP-000L7,SSD,238.5,2958,4217,139.19,21.25,0.58,2014
4231,Transcend TS240GSSD220S,SSD,223.6,2951,4232,68.99,42.77,0.31,2016
4236,Transcend TS128GSSD720,SSD,119.2,2949,4237,105.32,28.0,0.88,2013
4238,Intel SSD 510 250GB,SSD,232.8,2948,4239,544.76,5.41,2.34,2011
4243,SAMSUNG MZYTY128HDHP-000L2,SSD,119.2,2944,4244,40.8,72.16,0.34,2016
4248,KINGSTON SVP200S37A240G,SSD,223.6,2942,4249,222.23,13.24,0.99,2012
4253,Intel SSD 545s 128GB M.2,SSD,119.2,2941,4254,50.0,58.82,0.42,2018
4255,Crucial CT240M500SSD3,SSD,223.6,2939,4256,227.77,12.91,1.02,2013
4259,PNY CS900 120GB SSD,SSD,111.8,2938,4260,30.28,97.02,0.27,2016
4264,ADATA SU655,SSD,111.8,2936,4265,25.99,112.97,0.23,2018
4266,WDC WDS200T2G0A,SSD,1800.0,2936,4267,177.71,16.52,0.1,2020
4267,CT120BX500SSD1,SSD,111.8,2934,4268,39.99,73.36,0.36,2018
4269,512GB QLC SSD,SSD,476.9,2934,4270,59.99,48.9,0.13,2020
4273,CT240BX500SSD1,SSD,223.6,2932,4274,40.85,71.77,0.18,2018
4285,CT480BX500SSD1,SSD,447.1,2925,4286,52.99,55.19,0.12,2018
4288,Patriot Blast 120GB,SSD,111.8,2921,4289,39.99,73.04,0.36,2015
4311,Patriot P210 256GB,SSD,238.5,2910,4312,42.42,68.61,0.18,2020
4313,Intel SSD DC S3500 160GB,SSD,149.0,2908,4314,57.0,51.03,0.38,2014
4315,SAMSUNG SSD PM851 mSATA 256GB,SSD,238.5,2907,4316,114.0,25.5,0.48,2014
4318,SAMSUNG MZNTY128HDHP-00000,SSD,119.2,2905,4319,52.29,55.56,0.44,2016
4320,OWC Mercury Electra 6G SSD,SSD,447.1,2905,4321,83.99,34.59,0.19,2012
4321,Intel SSD 530 120GB mSATA,SSD,111.8,2904,4322,69.97,41.51,0.63,2013
4325,SanDisk SD6SB1M-128G-1006,SSD,119.2,2902,4326,64.99,44.65,0.55,2014
4327,Mushkin Source 500GB MKNSSDSR500GB,SSD,465.8,2902,4328,69.99,41.46,0.15,2018
4332,Patriot Pyro SE 120GB SSD,SSD,111.8,2899,4333,129.75,22.34,1.16,2011
4338,PLEXTOR PX-128M5S,SSD,119.2,2897,4339,179.45,16.14,1.51,2013
4347,Transcend TS128GMTS400,SSD,119.2,2890,4348,116.94,24.71,0.98,2015
4350,BP4e mSATA SSD,SSD,223.6,2888,4351,81.99,35.22,0.37,2014
4355,SAMSUNG SSD PM851 mSATA,SSD,238.5,2885,4356,139.99,20.61,0.59,2014
4358,Intel SSD Pro 2500 120GB,SSD,111.8,2885,4359,102.99,28.01,0.92,2014
4359,WDC WDS240G2G0B,SSD,223.6,2883,4360,39.47,73.05,0.18,2018
4363,INTEL SSDSC2KB240G7,SSD,223.6,2882,4364,99.99,28.82,0.45,2018
4365,Crucial CT128MX100SSD1,SSD,119.2,2880,4366,153.32,18.78,1.29,2014
4378,SAMSUNG MZNTY128HDHP-000H1,SSD,119.2,2867,4379,51.89,55.25,0.44,2016
4382,MKNSSDSR1TB,SSD,931.5,2864,4383,122.99,23.29,0.13,2019
4384,PLEXTOR PX-64M6M,SSD,59.6,2862,4385,54.99,52.05,0.92,2014
4388,Transcend TS128GMTS600,SSD,119.2,2858,4389,64.99,43.98,0.55,2015
4397,Mushkin Source 250GB MKNSSDSR250GB,SSD,232.9,2851,4398,39.49,72.19,0.17,2018
4398,256GB QLC SSD,SSD,238.5,2851,4399,90.88,31.37,0.38,2020
4407,WDC WDS240G1G0B,SSD,223.6,2845,4408,39.0,72.95,0.17,2016
4413,Lexar SSD,SSD,111.8,2843,4414,67.99,41.81,0.61,2019
4415,Patriot P200 512GB,SSD,476.9,2841,4416,136.0,20.89,0.29,2019
4420,Transcend SSD720 128GB TS128GSSD720,SSD,119.2,2838,4421,218.95,12.96,1.84,2012
4422,Transcend SSD320 256GB TS256GSSD320,SSD,238.5,2837,4423,174.99,16.21,0.73,2012
4427,SAMSUNG MZ7LM240HMHQ-00005,SSD,223.6,2832,4428,195.0,14.52,0.87,2017
4435,SAMSUNG MZMTE512HMHP-000L1,SSD,476.9,2826,4436,299.95,9.42,0.63,2014
4443,Patriot P210 128GB,SSD,119.2,2824,4444,64.99,43.46,0.55,2020
4444,OCZ 240GB SSD D2CSTK251A20-0240,SSD,223.6,2824,4445,400.89,7.04,1.79,2013
4445,FTM56N325H,SSD,238.5,2823,4446,59.0,47.85,0.25,2019
4446,Patriot Burst Elite 120GB,SSD,111.8,2822,4447,17.99,156.89,0.16,2021
4454,SAMSUNG MZNTE256HMHP-000H1,SSD,238.5,2816,4455,83.56,33.71,0.35,2014
4464,SAMSUNG MZMTE256HMHP-000L1,SSD,238.5,2809,4465,75.0,37.46,0.31,2014
4468,SAMSUNG MZNTD256HAGL-00000,SSD,238.5,2807,4469,81.83,34.31,0.34,2013
4483,SAMSUNG SSD PM871 mSATA 128GB,SSD,119.2,2797,4484,99.99,27.98,0.84,2016
4484,SAMSUNG MZNTE256HMHP-00000,SSD,238.5,2797,4485,125.39,22.31,0.53,2014
4491,SEAGATE ST120FP0021,SSD,111.8,2795,4492,83.55,33.45,0.75,2015
4496,FCCT240M500SSD1,SSD,223.6,2792,4497,64.99,42.97,0.29,2015
4497,PNY CS1311 120GB SSD,SSD,111.8,2792,4498,76.12,36.68,0.68,2016
